name,weights,codes
AdmissiontoMoviesTheatersandConcerts,0.468,CUSR0000SS62031
Personalcareservices,0.546,CUSR0000SS61031
Airlinefares,0.481,CUSR0000SETG01
Publictransportation,0.777,CUSR0000SETG
Motorvehiclemaintenanceandrepair,1.038,CUSR0000SETD
Motorvehiclepartsandequipment,0.423,CUSR0000SETC
Gasoline(alltypes),3.748,CUSR0000SETB01
Motorfuel,3.822,CUSR0000SETB
Usedcarsandtrucks,4.143,CUSR0000SETA02
Newvehicles,4.105,CUSR0000SETA01
Newandusedmotorvehicles,9.218,CUSR0000SETA
Feesforlessonsorinstructions,0.174,CUSR0000SERF03
Clubmemberships,0.648,CUSR0000SERF01
Musicinstrumentsandaccessories,0.042,CUSR0000SERE03
Toys,0.299,CUSR0000SERE01
Cableandsatellitetelevisionservice,1.069,CUSR0000SERA02
Videoandaudio,1.471,CUSR0000SERA
Hospitalandrelatedservices,2.573,CUSR0000SEMD
Servicesbyothermedicalprofessionals,0.39,CUSR0000SEMC04
Professionalservices,3.585,CUSR0000SEMC
Waterandsewerandtrashcollectionservices,1.111,CUSR0000SEHG
Utility(piped)gasservice,0.879,CUSR0000SEHF02
Electricity,2.454,CUSR0000SEHF01
Energyservices,3.334,CUSR0000SEHF
Fueloilandotherfuels,0.192,CUSR0000SEHE
Ownersequivalentrentofprimaryresidence,22.988,CUSR0000SEHC01
Ownersequivalentrentofresidences,24.251,CUSR0000SEHC
Lodgingawayfromhome,0.914,CUSR0000SEHB
Rentofprimaryresidence,7.398,CUSR0000SEHA
Laundryanddrycleaningservices,0.154,CUSR0000SEGD03
Miscellaneouspersonalservices,0.833,CUSR0000SEGD
Tobaccoandsmokingproducts,0.526,CUSR0000SEGA
Alcoholicbeveragesawayfromhome,0.296,CUSR0000SEFX
Alcoholicbeveragesathome,0.593,CUSR0000SEFW
Otherfoodawayfromhome,0.174,CUSR0000SEFV05
Foodawayfromhome,5.205,CUSR0000SEFV
Otherfoods,1.646,CUSR0000SEFT
Fatsandoils,0.23,CUSR0000SEFS
Sugarandsweets,0.277,CUSR0000SEFR
Coffee,0.174,CUSR0000SEFP01
DairyAndRelatedproducts,0.752,CUSR0000SEFJ
ComputersPeripheralsAndSmarthomeAssistants,0.36,CUSR0000SEEE01
Informationtechnologyhardwareandservices,1.743,CUSR0000SEEE
Tuitionotherschoolfeesandchildcare,2.59,CUSR0000SEEB
Educationalbooksandsupplies,0.087,CUSR0000SEEA
Infantsandtoddlersapparel,0.113,CUSR0000SEAF
Footwear,0.61,CUSR0000SEAE
Privatetransportation,17.404,CUSR0000SAT1
Medicalcareservices,6.962,CUSR0000SAM2
Medicalcarecommodities,1.524,CUSR0000SAM1
Householdfurnishingsandoperations,4.78,CUSR0000SAH3
Householdenergy,3.526,CUSR0000SAH21
Fuelsandutilities,4.637,CUSR0000SAH2
Shelter,32.946,CUSR0000SAH1
Personalcare,2.211,CUSR0000SAG1
Alcoholicbeverages,0.889,CUSR0000SAF116
Otherfoodathome,2.153,CUSR0000SAF115
Nonalcoholicbeveragesandbeveragematerials,0.933,CUSR0000SAF114
Fruitsandvegetables,1.408,CUSR0000SAF113
Meatspoultryfishandeggs,1.888,CUSR0000SAF112
Cerealsandbakeryproducts,1.03,CUSR0000SAF111
Foodathome,8.165,CUSR0000SAF11
Informationandinformationprocessing,3.642,CUSR0000SAE21
Communication,3.728,CUSR0000SAE2
Education,2.677,CUSR0000SAE1
Womensandgirlsapparel,0.952,CUSR0000SAA2
Mensandboysapparel,0.625,CUSR0000SAA1
Food,13.37,CPIUFDSL
Transportation,18.182,CPITRNSL
Recreation,5.108,CPIRECSL
Othergoodsandservices,2.737,CPIOGSSL
Medicalcare,8.487,CPIMEDSL
Housing,42.363,CPIHOSSL
Foodandbeverages,14.259,CPIFABSL
Educationandcommunication,6.406,CPIEDUSL
Allitems,100,CPIAUCSL
Apparel,2.458,CPIAPPSL
Allitemslessenergy,92.652,
Allitemslessmedicalcare,91.513,
Allitemslessfood,86.63,
Allitemslessfoodandenergy,79.282,
Allitemslessshelter,67.054,
Services,60.917,
Serviceslessenergyservices,57.583,
Serviceslessmedicalcareservices,53.954,
Commodities,39.083,
Rentofshelter,32.563,
Serviceslessrentofshelter,28.354,
Nondurables,26.027,
Commoditieslessfood,25.713,
Commoditieslessfoodandbeverages,24.824,
Commoditieslessfoodandenergycommodities,21.699,
Durables,13.057,
Nondurableslessfood,12.656,
Nondurableslessfoodandbeverages,11.767,
Nondurableslessfoodandapparel,10.199,
Otherservices,10.12,
Nondurableslessfoodbeveragesandapparel,9.31,
Utilitiesandpublictransportation,8.191,
Energy,7.348,
Domesticallyproducedfarmfood,6.862,
Transportationservices,5.599,
Energycommodities,4.014,
Limitedservicemealsandsnacks,2.55,
Fullservicemealsandsnacks,2.408,
Motorvehicleinsurance,2.383,
Hospitalservices,2.199,
