index_item,ie
Food and beverages,14.259
Food,13.37
Food at home,8.165
Cereals and bakery products,1.03
Cereals and cereal products,0.332
Flour and prepared flour mixes,0.051
Breakfast cereal,0.143
"Rice, pasta, cornmeal",0.138
Bakery products,0.699
Bread,0.199
"Fresh biscuits, rolls, muffins",0.106
"Cakes, cupcakes, and cookies",0.171
Other bakery products,0.223
"Meats, poultry, fish, and eggs",1.888
"Meats, poultry, and fish",1.779
Meats,1.147
Beef and veal,0.546
Uncooked ground beef,0.194
Uncooked beef roasts,0.082
Uncooked beef steaks,0.216
Uncooked other beef and veal,0.055
Pork,0.365
"Bacon, breakfast sausage, and related products",0.163
Ham,0.062
Pork chops,0.053
"Other pork including roasts, steaks, and ribs",0.086
Other meats,0.236
Poultry,0.344
Chicken,0.281
Other uncooked poultry including turkey,0.062
Fish and seafood,0.289
Fresh fish and seafood,0.147
Processed fish and seafood,0.142
Eggs,0.109
Dairy and related products,0.752
Milk,0.194
Cheese and related products,0.249
Ice cream and related products,0.113
Other dairy and related products,0.195
Fruits and vegetables,1.408
Fresh fruits and vegetables,1.085
Fresh fruits,0.581
Apples,0.076
Bananas,0.081
Citrus fruits,0.159
Other fresh fruits,0.266
Fresh vegetables,0.504
Potatoes,0.075
Lettuce,0.062
Tomatoes,0.084
Other fresh vegetables,0.283
Processed fruits and vegetables,0.323
Canned fruits and vegetables,0.162
Frozen fruits and vegetables,0.098
Other processed fruits and vegetables including dried,0.063
Nonalcoholic beverages and beverage materials,0.933
Juices and nonalcoholic drinks,0.663
Carbonated drinks,0.277
Frozen noncarbonated juices and drinks,0.007
Nonfrozen noncarbonated juices and drinks,0.378
Beverage materials including coffee and tea,0.27
Coffee,0.174
Other beverage materials including tea,0.097
Other food at home,2.153
Sugar and sweets,0.277
Sugar and sugar substitutes,0.04
Candy and chewing gum,0.178
Other sweets,0.059
Fats and oils,0.23
Butter and margarine,0.066
Salad dressing,0.055
Other fats and oils including peanut butter,0.108
Other foods,1.646
Soups,0.094
Frozen and freeze dried prepared foods,0.263
Snacks,0.359
"Spices, seasonings, condiments, sauces",0.317
Baby food,0.043
Other miscellaneous foods,0.57
Food away from home,5.205
Full service meals and snacks,2.408
Limited service meals and snacks,2.55
Food at employee sites and schools,0.036
Food from vending machines and mobile vendors,0.036
Other food away from home,0.174
Alcoholic beverages,0.889
Alcoholic beverages at home,0.593
"Beer, ale, and other malt beverages at home",0.223
Distilled spirits at home,0.11
Wine at home,0.259
Alcoholic beverages away from home,0.296
Housing,42.363
Shelter,32.946
Rent of primary residence,7.398
Lodging away from home,0.914
"Housing at school, excluding board",0.129
Other lodging away from home including hotels and motels,0.785
Owners' equivalent rent of residences,24.251
Owners' equivalent rent of primary residence,22.988
Unsampled owners' equivalent rent of secondary residences,1.262
Tenants' and household insurance,0.383
Fuels and utilities,4.637
Household energy,3.526
Fuel oil and other fuels,0.192
Fuel oil,0.115
"Propane, kerosene, and firewood",0.077
Energy services,3.334
Electricity,2.454
Utility (piped) gas service,0.879
Water and sewer and trash collection services,1.111
Water and sewerage maintenance,0.801
Garbage and trash collection,0.31
Household furnishings and operations,4.78
Window and floor coverings and other linens,0.296
Floor coverings,0.066
Window coverings,0.059
Other linens,0.172
Furniture and bedding,0.971
Bedroom furniture,0.319
"Living room, kitchen, and dining room furniture",0.47
Other furniture,0.173
Unsampled furniture,0.009
Appliances,0.254
Major appliances,0.083
Other appliances,0.168
Unsampled appliances,0.003
Other household equipment and furnishings,0.561
"Clocks, lamps, and decorator items",0.337
Indoor plants and flowers,0.101
Dishes and flatware,0.049
Nonelectric cookware and tableware,0.075
"Tools, hardware, outdoor equipment and supplies",0.932
"Tools, hardware and supplies",0.238
Outdoor equipment and supplies,0.469
"Unsampled tools, hardware, outdoor equipment and supplies",0.225
Housekeeping supplies,0.922
Household cleaning products,0.335
Household paper products,0.212
Miscellaneous household products,0.374
Household operations,0.844
Domestic services,0.246
Gardening and lawncare services,0.299
"Moving, storage, freight expense",0.104
Repair of household items,0.11
Unsampled household operations,0.085
Apparel,2.458
Men's and boys' apparel,0.625
Men's apparel,0.477
"Men's suits, sport coats, and outerwear",0.073
"Men's underwear, nightwear, swimwear and accessories",0.162
Men's shirts and sweaters,0.117
Men's pants and shorts,0.119
Unsampled men's apparel,0.006
Boys' apparel,0.148
Women's and girls' apparel,0.952
Women's apparel,0.799
Women's outerwear,0.059
Women's dresses,0.089
Women's suits and separates,0.383
"Women's underwear, nightwear, swimwear, and accessories",0.259
Unsampled women's apparel,0.008
Girls' apparel,0.154
Footwear,0.61
Men's footwear,0.206
Boys' and girls' footwear,0.117
Women's footwear,0.286
Infants' and toddlers' apparel,0.113
Jewelry and watches,0.158
Watches,0.031
Jewelry,0.127
Transportation,18.182
Private transportation,17.404
New and used motor vehicles,9.218
New vehicles,4.105
Used cars and trucks,4.143
Leased cars and trucks,0.728
Car and truck rental,0.153
Unsampled new and used motor vehicles,0.089
Motor fuel,3.822
Gasoline (all types),3.748
Other motor fuels,0.074
Motor vehicle parts and equipment,0.423
Tires,0.268
Vehicle accessories other than tires,0.155
Motor vehicle maintenance and repair,1.038
Motor vehicle body work,0.051
Motor vehicle maintenance and servicing,0.578
Motor vehicle repair,0.365
Unsampled service policies,0.043
Motor vehicle insurance,2.383
Motor vehicle fees,0.521
